	Dataset	Patient	CompClass	Freq
1	GSE151530	C29	B cell	2
2	GSE151530	C60	B cell	150
3	GSE178318	COL07	B cell	507
4	GSE178318	COL12	B cell	979
5	GSE178318	COL15	B cell	186
6	GSE178318	COL16	B cell	206
7	GSE178318	COL17	B cell	709
8	GSE178318	COL18	B cell	1747
9	GSE140228	D20171109	B cell	134
10	GSE140228	D20171215	B cell	73
11	GSE140228	D20180108	B cell	150
12	GSE140228	D20180110	B cell	182
13	GSE140228	D20180116	B cell	80
14	GSE112271	GSE112271_Patient_13	B cell	31
15	GSE112271	GSE112271_Patient_14	B cell	23
16	GSE166635	GSM5076749	B cell	48
17	GSE166635	GSM5076750	B cell	176
18	GSE151530	H08	B cell	88
19	GSE151530	H21	B cell	4
20	GSE151530	H30	B cell	8
21	GSE151530	H38	B cell	6
22	GSE151530	H49a	B cell	11
23	GSE151530	H58a	B cell	64
24	GSE151530	H58b	B cell	8
25	GSE151530	H58c	B cell	48
26	GSE151530	H68b	B cell	1
27	GSE151530	H70	B cell	6
28	GSE151530	H72	B cell	6
29	GSE151530	H73a	B cell	76
30	GSE151530	H73b	B cell	33
31	GSE151530	H74	B cell	1
32	GSE151530	H75	B cell	31
33	GSE151530	H77	B cell	98
34	scCRLM	P1	B cell	147
35	scCRLM	P10	B cell	99
36	scCRLM	P11	B cell	137
37	scCRLM	P12	B cell	174
38	scCRLM	P13	B cell	34
39	scCRLM	P14	B cell	160
40	scCRLM	P15	B cell	524
41	scCRLM	P16	B cell	36
42	scCRLM	P17	B cell	709
43	scCRLM	P18	B cell	160
44	scCRLM	P19	B cell	247
45	scCRLM	P2	B cell	115
46	scCRLM	P20	B cell	35
47	scCRLM	P3	B cell	231
48	scCRLM	P4	B cell	47
49	scCRLM	P5	B cell	159
50	scCRLM	P6	B cell	411
51	scCRLM	P7	B cell	152
52	scCRLM	P8	B cell	1084
53	scCRLM	P9	B cell	189
54	GSE164522	patient08	B cell	182
55	GSE164522	patient09	B cell	661
56	GSE164522	patient10	B cell	274
57	GSE164522	patient11	B cell	284
58	GSE164522	patient12	B cell	646
59	GSE164522	patient13	B cell	1061
60	GSE164522	patient14	B cell	1016
61	GSE164522	patient15	B cell	439
62	GSE164522	patient16	B cell	1425
63	GSE164522	patient17	B cell	218
64	GSE125449	S02_P01_LCP21	B cell	4
65	GSE125449	S11_P06_LCP29	B cell	4
66	GSE125449	S12_P07_LCP30	B cell	14
67	GSE125449	S15_P09_LCP38	B cell	5
68	GSE125449	S300_P02_LCP60	B cell	144
69	GSE125449	S365_P22_LCP66	B cell	2
70	GSE132465	SMC01	B cell	59
71	GSE132465	SMC02	B cell	59
72	GSE132465	SMC03	B cell	150
73	GSE132465	SMC04	B cell	87
74	GSE132465	SMC05	B cell	73
75	GSE132465	SMC06	B cell	28
