p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
4.18560566952324e-163	0.0165398818026463	1	1	7.78522654531323e-161	B	Jak-STAT signaling pathway
9.77504983024675e-117	0.0217260302066049	1	1	1.8181592684259e-114	B	T cell receptor signaling pathway
1.41518206438371e-99	0.020204528278827	1	1	2.63223863975369e-97	B	Chronic myeloid leukemia
5.91639688639897e-99	0.0189532308395877	1	1	1.10044982087021e-96	B	Colorectal cancer
1.13412840014254e-97	0.010502705847554	1	1	2.10947882426513e-95	B	MAPK signaling pathway
5.44511067755981e-96	0.0182307110073543	1	1	1.01279058602612e-93	B	Leukocyte transendothelial migration
1.05980915612202e-95	0.0170241692878594	1	1	1.97124503038695e-93	B	Pancreatic cancer
5.85105222521971e-92	0.0297459099371113	1	1	1.08829571389087e-89	B	Primary immunodeficiency
3.66308242934787e-90	0.0239390028668651	1	1	6.81333331858704e-88	B	B cell receptor signaling pathway
2.95163604126828e-88	0.00841703993149046	1	1	5.49004303675899e-86	B	Pathways in cancer
9.23005093582052e-88	0.0111004923184879	1	1	1.71678947406262e-85	B	Focal adhesion
3.47843562199741e-85	0.0108789278785878	1	1	6.46989025691519e-83	B	Natural killer cell mediated cytotoxicity
6.08639598013245e-84	0.0339954988359035	1	1	1.13206965230464e-81	B	Circadian rhythm - mammal
1.97349598547003e-82	0.0186937306450004	1	1	3.67070253297425e-80	B	Neurotrophin signaling pathway
1.37625383457743e-81	0.0130003252715427	1	1	2.55983213231403e-79	B	Regulation of actin cytoskeleton
1.36789716708581e-76	0.0199374360951516	1	1	2.54428873077961e-74	B	Acute myeloid leukemia
9.44087769650417e-75	0.00119692861880422	1	1	1.75600325154978e-72	B	Olfactory transduction
6.62962233838418e-74	0.0131580741919992	1	1	1.23310975493946e-71	B	ErbB signaling pathway
1.42403002844772e-72	0.0125731271276175	1	1	2.64869585291275e-70	B	Prostate cancer
1.67345564900442e-69	0.0123985669701436	1	1	3.11262750714823e-67	B	Apoptosis
4.96452923462306e-68	0.0163182441377286	1	1	9.23402437639889e-66	B	Regulation of autophagy
1.8249178093836e-66	0.0155399435283938	1	1	3.3943471254535e-64	B	Fc gamma R-mediated phagocytosis
5.50022636349623e-65	0.0105752483630674	1	1	1.0230421036103e-62	B	Phosphatidylinositol signaling system
8.52354967455507e-64	0.00671095455761739	1	1	1.58538023946724e-61	B	Axon guidance
1.33457775102565e-63	0.0104898769390753	1	1	2.48231461690772e-61	B	Cell cycle
1.85124699278231e-62	0.0145137912118984	1	1	3.44331940657509e-60	B	RIG-I-like receptor signaling pathway
6.69784264273792e-61	0.00978798854372287	1	1	1.24579873154925e-58	B	Vascular smooth muscle contraction
2.38496895875311e-59	0.00973855561289549	1	1	4.43604226328078e-57	B	Small cell lung cancer
2.07310846702554e-58	0.0129516743378988	1	1	3.85598174866751e-56	B	Fc epsilon RI signaling pathway
1.30469787075075e-54	0.00502061328875525	1	1	2.4267380395964e-52	B	Calcium signaling pathway
1.24448675998205e-51	0.0082510845266881	1	1	2.31474537356662e-49	B	Dilated cardiomyopathy
2.72976894984201e-50	0.0112441586172654	1	1	5.07737024670614e-48	B	mTOR signaling pathway
6.83688252072481e-48	0.0110391301849377	1	1	1.27166014885481e-45	B	Endocytosis
1.46676427878109e-47	0.0169736877380857	1	1	2.72818155853282e-45	B	Dorso-ventral axis formation
1.07880606162773e-46	0.0078648926347773	1	1	2.00657927462758e-44	B	Hypertrophic cardiomyopathy (HCM)
2.93448168788389e-46	0.00762141075920431	1	1	5.45813593946404e-44	B	Wnt signaling pathway
2.95858727760975e-46	0.0103240191505831	1	1	5.50297233635414e-44	B	VEGF signaling pathway
6.72966483616817e-45	0.0129322856517904	1	1	1.25171765952728e-42	B	Long-term potentiation
1.97101747053997e-42	0.00912050241315621	1	1	3.66609249520435e-40	B	TGF-beta signaling pathway
2.4288397410361e-40	0.0173229968065041	1	1	4.51764191832714e-38	B	Vasopressin-regulated water reabsorption
6.7065750250509e-40	0.00589066356650947	1	1	1.24742295465947e-37	B	Progesterone-mediated oocyte maturation
8.78880598369426e-39	0.0115274798998755	1	1	1.63471791296713e-36	B	Epithelial cell signaling in Helicobacter pylori infection
2.73389434375943e-36	0.00818975780309494	1	1	5.08504347939254e-34	B	GnRH signaling pathway
