p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
4.81461358857081e-147	0.00629465515648442	1	1	2.49396983887968e-144	B	ZNF597-TARGET-GENES
3.8138074569651e-124	0.007776092348107	1	1	1.97555226270792e-121	B	PRMT5-TARGET-GENES
1.33930270620941e-106	0.00652985870909567	1	1	6.93758801816474e-104	B	MAML1-TARGET-GENES
3.28946498644413e-103	0.0135042070673252	0.999	0.998	1.70394286297806e-100	B	HMCES-TARGET-GENES
1.1500287296586e-99	0.0063538498781428	1	1	5.95714881963154e-97	B	PSIP1-TARGET-GENES
6.42783308476368e-95	0.00781614944264469	1	1	3.32961753790759e-92	B	PIAS4-TARGET-GENES
1.47515829939593e-89	0.0024477609045026	1	1	7.64131999087092e-87	B	HMGA1-TARGET-GENES
3.97141713331522e-88	0.00382736653525079	1	1	2.05719407505728e-85	B	POU2AF1-TARGET-GENES
8.2891383435747e-88	0.00245880615159627	1	1	4.29377366197169e-85	B	NFKBIA-TARGET-GENES
1.89161515948499e-86	0.00936635163870836	1	1	9.79856652613224e-84	B	YBX1-TARGET-GENES
3.01651618111322e-84	0.00225940254942819	1	1	1.56255538181665e-81	B	ZSCAN4-TARGET-GENES
8.55992316472814e-84	0.0032837419867901	1	1	4.43404019932918e-81	B	HBZ-TARGET-GENES
9.11326070827297e-82	0.0029258751401145	1	1	4.7206690468854e-79	B	ZNF596-TARGET-GENES
6.21371971863782e-81	0.00310614328669484	1	1	3.21870681425439e-78	B	PRDM5-TARGET-GENES
9.96192074674065e-80	0.00459991384062541	1	1	5.16027494681165e-77	B	TSHZ1-TARGET-GENES
2.49607416911589e-79	0.00263981449412343	1	1	1.29296641960203e-76	B	SOX10-TARGET-GENES
3.74218134726264e-78	0.00540362228033292	1	1	1.93844993788205e-75	B	ZNF746-TARGET-GENES
1.79711778553871e-77	0.00728185417917593	1	1	9.30907012909053e-75	B	PGM3-TARGET-GENES
2.09416312607619e-76	0.00287546962476248	1	1	1.08477649930746e-73	B	ZNF274-TARGET-GENES
1.51500346952281e-75	0.00391868907952625	1	1	7.84771797212816e-73	B	ARID3B-TARGET-GENES
1.17089167924877e-74	0.00482814103477563	1	1	6.06521889850861e-72	B	RAG1-TARGET-GENES
5.63388151904104e-73	0.00518419394190606	1	1	2.91835062686326e-70	B	TERF2-TARGET-GENES
9.08315361828114e-73	0.00340301009689792	1	1	4.70507357426963e-70	B	FOXJ2-TARGET-GENES
9.32701845763171e-70	0.0023486291331804	1	1	4.83139556105323e-67	B	PAX3-TARGET-GENES
5.49686609613012e-69	0.00693404674793563	1	1	2.8473766377954e-66	B	PAX8-TARGET-GENES
1.80271472077053e-68	0.0129861476670484	1	1	9.33806225359133e-66	B	WIZ-TARGET-GENES
3.62520439176718e-67	0.00766361402427174	1	1	1.8778558749354e-64	B	PSMB5-TARGET-GENES
1.46975841972508e-66	0.00382757317664079	1	1	7.6133486141759e-64	B	ZFP28-TARGET-GENES
3.15893542596335e-66	0.00235032334220558	1	1	1.63632855064901e-63	B	ZIM3-TARGET-GENES
7.39164683610108e-64	0.00336255603886071	1	1	3.82887306110036e-61	B	FOXP2-TARGET-GENES
3.87822571386126e-62	0.003185395905758	1	1	2.00892091978013e-59	B	ZNF391-TARGET-GENES
6.36995093718915e-62	0.00509544239652598	1	1	3.29963458546398e-59	B	CHAF1B-TARGET-GENES
1.0373958262377e-61	0.0030786649697937	1	1	5.37371037991126e-59	B	ZNF423-TARGET-GENES
1.26619634826277e-61	0.00333868104429785	1	1	6.55889708400116e-59	B	SKIL-TARGET-GENES
2.50565376860417e-61	0.00401847695733959	1	1	1.29792865213696e-58	B	NOTCH3-TARGET-GENES
3.21155620873787e-60	0.0043694741813578	1	1	1.66358611612622e-57	B	DROSHA-TARGET-GENES
7.7583979991299e-60	0.00288856556581601	1	1	4.01885016354929e-57	B	ZNF558-TARGET-GENES
9.98713369543771e-60	0.00540777702054074	1	1	5.17333525423674e-57	B	ZBTB5-TARGET-GENES
2.10991468206409e-59	0.00230153856384985	1	1	1.0929358053092e-56	B	SRSF9-TARGET-GENES
1.95336052478029e-58	0.00307420927977753	1	1	1.01184075183619e-55	B	NFXL1-TARGET-GENES
2.26432469996482e-58	0.00659316745844829	1	1	1.17292019458178e-55	B	CTR9-TARGET-GENES
2.33878424305205e-58	0.00360260467257106	1	1	1.21149023790096e-55	B	ARID5B-TARGET-GENES
1.05124597726262e-56	0.00291168468566544	1	1	5.44545416222038e-54	B	ZNF513-TARGET-GENES
1.17019453460863e-56	0.00197594229826609	1	1	6.06160768927273e-54	B	FOXH1-TARGET-GENES
8.16014501256326e-56	0.00409433799210773	1	1	4.22695511650777e-53	B	ZNF410-TARGET-GENES
1.82290899674009e-55	0.00402364853784953	1	1	9.44266860311364e-53	B	WRNIP1-TARGET-GENES
3.55808326172273e-55	0.00609176788138294	1	1	1.84308712957238e-52	B	ZNF777-TARGET-GENES
3.798265591568e-55	0.00526901988195577	1	1	1.96750157643222e-52	B	SETD7-TARGET-GENES
7.76541384679574e-55	0.00953273986552378	1	1	4.02248437264019e-52	B	MAPK3-TARGET-GENES
8.72089637976777e-55	0.0156771973091835	1	1	4.51742432471971e-52	B	MDM2-TARGET-GENES
1.07444599873067e-54	0.00624073045906576	1	1	5.56563027342485e-52	B	ATOH8-TARGET-GENES
1.36193850736384e-53	0.00261587971062366	1	1	7.0548414681447e-51	B	SMN1-SMN2-TARGET-GENES
8.97820533296903e-53	0.00256385966552514	1	1	4.65071036247796e-50	B	MYOCD-TARGET-GENES
9.37345639310764e-53	0.00268368493073562	1	1	4.85545041162975e-50	B	EBNA1BP2-TARGET-GENES
1.69704631546165e-52	0.00320056467738489	1	1	8.79069991409136e-50	B	ZNF740-TARGET-GENES
2.55058113295811e-52	0.00324592970675869	1	1	1.3212010268723e-49	B	CSHL1-TARGET-GENES
7.58747210812026e-52	0.00357079583388076	1	1	3.9303105520063e-49	B	SRPK2-TARGET-GENES
7.63148065194347e-52	0.00238716389407345	1	1	3.95310697770672e-49	B	ZFP91-TARGET-GENES
3.01798979075967e-51	0.00353482400256677	1	1	1.56331871161351e-48	B	ZNF318-TARGET-GENES
7.51474946606431e-51	0.00350044600274074	1	1	3.89264022342131e-48	B	PRKDC-TARGET-GENES
3.10274681835135e-50	0.00331765493638797	1	1	1.607222851906e-47	B	ZNF585B-TARGET-GENES
2.03635178568721e-49	0.00735370246911327	1	1	1.05483022498598e-46	B	ZNF454-TARGET-GENES
6.11185111231155e-49	0.0021025904149527	1	1	3.16593887617738e-46	B	GCM2-TARGET-GENES
2.06588324405968e-47	0.00264277035137783	1	1	1.07012752042292e-44	B	MZF1-TARGET-GENES
3.47334653317469e-47	0.00773138206125723	1	1	1.79919350418449e-44	B	CDH4-TARGET-GENES
4.66471826894839e-47	0.00271664437027169	1	1	2.41632406331526e-44	B	ZNF768-TARGET-GENES
1.32502579352653e-46	0.00290023098093234	1	1	6.86363361046741e-44	B	ZSCAN5C-TARGET-GENES
1.80990916943606e-46	0.00550985873842358	1	1	9.37532949767878e-44	B	ZNF560-TARGET-GENES
4.13387600798543e-46	0.00801502667338003	1	1	2.14134777213645e-43	B	RPA1-TARGET-GENES
4.18583739544627e-46	0.00426452573631508	1	1	2.16826377084117e-43	B	HOXC13-TARGET-GENES
5.10318542590406e-46	0.00520456550417214	1	1	2.6434500506183e-43	B	RBM15-TARGET-GENES
1.61160205195376e-45	0.00389572138661326	1	1	8.34809862912046e-43	B	DNMT3A-TARGET-GENES
5.09847451663345e-45	0.00236829945462746	1	1	2.64100979961613e-42	B	HAND1-TARGET-GENES
1.85180704189165e-44	0.00226896473049976	1	1	9.59236047699873e-42	B	ZNF664-TARGET-GENES
5.96067891984074e-44	0.0035125746688176	1	1	3.0876316804775e-41	B	KDM7A-TARGET-GENES
6.31733627162207e-44	0.00452213723359252	1	1	3.27238018870023e-41	B	GTF2A2-TARGET-GENES
4.08128605734832e-43	0.00187063078097444	1	1	2.11410617770643e-40	B	ZSCAN30-TARGET-GENES
8.119148087614e-43	0.00335973730714445	1	1	4.20571870938405e-40	B	FOXE1-TARGET-GENES
8.3411359131171e-43	0.00419191745589353	1	1	4.32070840299466e-40	B	MYBL1-TARGET-GENES
8.96214154379104e-43	0.0030726913672392	1	1	4.64238931968376e-40	B	CREB3-TARGET-GENES
6.11003303206192e-42	0.00340205571301533	1	1	3.16499711060807e-39	B	NAB2-TARGET-GENES
8.19805818146986e-42	0.00348348955813649	1	1	4.24659413800139e-39	B	COBLL1-TARGET-GENES
1.03835905804786e-41	0.00227981039767672	1	1	5.37869992068791e-39	B	ZNF10-TARGET-GENES
