,1,2
B cell,22.0721371654174,0.0453059888358613
Endothelial cell,1.96527660663149,0.508834225485447
Fibroblast,0.37659721418211,2.65535687026201
Macrophage/Monocyte,2.44219991295211,0.409466888724605
Mast cell,0.774869045045946,1.290540648634
NK cell,0.261255925077421,3.82766438580737
Plasma cell,0.85768828402989,1.16592475217389
T cell CD4,0.429017824640591,2.33090548356061
T cell CD8,0.28186558710679,3.54779031475429
cDC,0.995537665464331,1.00448233621938
pDC,0.352600927521013,2.8360674120473
