,1,2
B cell,0.0435145810651833,22.9808026533
Endothelial cell,0.0945959387150146,10.5712783612483
Fibroblast,1.06220596027378,0.941437006945674
Macrophage/Monocyte,1.96609084491755,0.508623496510883
Mast cell,6.83303420528764,0.146347869768626
NK cell,4.80924420908108,0.207932880204284
Plasma cell,0.66736108013704,1.49843919545721
T cell CD4,3.07523472295667,0.325178430295088
T cell CD8,5.67529024078335,0.17620244209078
cDC,0.553448042428875,1.80685434464883
pDC,0.498391918046444,2.00645308198359
