,1,2
B cell,0.370446396807141,2.69944588102071
Endothelial cell,2.22531302314402,0.449374982125955
Fibroblast,6.93394465514567,0.144218053320904
Macrophage/Monocyte,1.61241905297607,0.62018617192242
Mast cell,1.80217236356575,0.55488588118254
NK cell,0.167649241589836,5.96483461849805
Plasma cell,2.41635824315588,0.413845919922019
T cell CD4,0.52723047048133,1.89670373012975
T cell CD8,0.283633689885982,3.52567426105831
cDC,1.03426248576807,0.966872543247449
pDC,4.69538713786105,0.212974983880784
