p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
PLXDC2	0	1.63962450468028	0.982	0.962	0	CAF	PLXDC2
COL8A1	0	1.62992778495113	0.949	0.467	0	CAF	COL8A1
PDPN	0	1.1241089318095	0.917	0.374	0	CAF	PDPN
DPYSL3	0	1.0610651483263	0.993	0.974	0	CAF	DPYSL3
MATN2	0	0.905743426154355	0.929	0.388	0	CAF	MATN2
SRPX2	0	0.881869639929092	0.981	0.93	0	CAF	SRPX2
ABI3BP	0	0.855521482074573	0.961	0.776	0	CAF	ABI3BP
MMP19	0	0.643756278415648	0.986	0.822	0	CAF	MMP19
CREB3L1	0	0.583067707029877	0.926	0.518	0	CAF	CREB3L1
NOX4	0	0.52412954715957	0.984	0.889	0	CAF	NOX4
CLMP	0	0.500485261883832	0.939	0.426	0	CAF	CLMP
MFAP5	0	0.350468811753318	0.903	0.402	0	CAF	MFAP5
HHIP-AS1	0	0.310607304937572	0.858	0.264	0	CAF	HHIP-AS1
WNT2	0	0.284672645786017	0.938	0.597	0	CAF	WNT2
ABCB1	0	0.267191202947329	0.909	0.379	0	CAF	ABCB1
LSAMP	4.82116361565007e-308	0.743194345099708	0.92	0.419	1.44634908469502e-304	CAF	LSAMP
MOXD1	6.30227610428672e-305	1.82566251875951	0.915	0.436	1.89068283128602e-301	CAF	MOXD1
CLIC2	1.06129176753366e-304	0.278346407368879	0.954	0.467	3.18387530260098e-301	CAF	CLIC2
LGALS9	3.49776884362295e-304	0.758965777538695	0.959	0.763	1.04933065308689e-300	CAF	LGALS9
CFD	7.57920348473283e-302	0.805523390892526	0.925	0.604	2.27376104541985e-298	CAF	CFD
MFAP2	6.82485707489265e-300	1.1579999573607	0.972	0.955	2.04745712246779e-296	CAF	MFAP2
HLA-DMB	2.07145805886441e-293	0.417556819816015	0.891	0.267	6.21437417659324e-290	CAF	HLA-DMB
SLC6A6	1.20304526720434e-291	1.07719305107273	0.944	0.809	3.60913580161303e-288	CAF	SLC6A6
LEF1	9.76518657119798e-290	0.710045883779163	0.983	0.972	2.92955597135939e-286	CAF	LEF1
GJB2	4.94600460183105e-289	0.278730402510997	0.859	0.315	1.48380138054932e-285	CAF	GJB2
FAP	8.2995786446969e-288	1.14470258111631	0.968	0.926	2.48987359340907e-284	CAF	FAP
PDLIM4	5.01421505132641e-283	0.74836118186892	0.985	0.983	1.50426451539792e-279	CAF	PDLIM4
CXCL14	1.34255174757285e-282	3.97128858446522	0.925	0.449	4.02765524271855e-279	CAF	CXCL14
CPVL	1.03526004247132e-281	0.304023789690616	0.799	0.093	3.10578012741396e-278	CAF	CPVL
PCDH7	1.42439490899544e-281	0.568143748186679	0.887	0.326	4.27318472698633e-278	CAF	PCDH7
APCDD1	6.57642928957565e-276	0.271593038963728	0.831	0.222	1.9729287868727e-272	CAF	APCDD1
CST2	1.00403902277745e-275	1.11132871576472	0.979	0.947	3.01211706833235e-272	CAF	CST2
TSHZ2	1.28809010343814e-275	1.25515641254477	0.976	0.855	3.86427031031443e-272	CAF	TSHZ2
PDGFRL	1.68132461683982e-275	0.466186365501022	0.945	0.894	5.04397385051945e-272	CAF	PDGFRL
IGF1	5.16163820760234e-275	0.676837999622904	0.894	0.512	1.5484914622807e-271	CAF	IGF1
COL10A1	8.0817531652934e-274	0.839524468819306	0.898	0.581	2.42452594958802e-270	CAF	COL10A1
PAPPA	4.18299999609069e-273	0.521311390133246	0.959	0.849	1.25489999882721e-269	CAF	PAPPA
BOC	5.06949663047403e-272	0.507072939830214	0.976	0.966	1.52084898914221e-268	CAF	BOC
CTSK	5.39122602665754e-269	1.75829187553395	0.985	0.862	1.61736780799726e-265	CAF	CTSK
RGS10	1.46852406127573e-268	0.55094266629389	0.989	0.972	4.4055721838272e-265	CAF	RGS10
COMP	3.76348420996745e-268	0.681044225320758	0.838	0.283	1.12904526299024e-264	CAF	COMP
CPXM1	1.56268667665066e-266	0.380412508061162	0.96	0.878	4.68806002995199e-263	CAF	CPXM1
MMP2	2.05470158197212e-265	2.7883905783444	0.921	0.843	6.16410474591636e-262	CAF	MMP2
PID1	9.2393464489752e-265	0.437685268490992	0.958	0.86	2.77180393469256e-261	CAF	PID1
CADPS2	1.41515383871637e-263	0.394574896380016	0.955	0.875	4.24546151614911e-260	CAF	CADPS2
PLBD1	1.59721358712837e-261	0.502251514511019	0.982	0.953	4.79164076138511e-258	CAF	PLBD1
LUM	3.46206938589358e-261	3.31034399308236	0.89	0.325	1.03862081576807e-257	CAF	LUM
CTSH	1.13864223048106e-260	0.70442044018538	0.889	0.336	3.41592669144319e-257	CAF	CTSH
WARS	2.89074871952588e-260	0.510512642160254	0.988	0.977	8.67224615857763e-257	CAF	WARS
MATN3	9.15699819519507e-260	0.576557838664701	0.94	0.768	2.74709945855852e-256	CAF	MATN3
SH3BP5	2.36398113233893e-258	0.624522896628262	0.959	0.549	7.0919433970168e-255	CAF	SH3BP5
APOD	6.26547730376573e-257	2.70041349822678	0.885	0.425	1.87964319112972e-253	CAF	APOD
FBLN2	1.07795201500527e-256	1.18285313473578	0.867	0.225	3.2338560450158e-253	CAF	FBLN2
ZFHX4	3.91603257642983e-255	0.434823406214447	0.887	0.458	1.17480977292895e-251	CAF	ZFHX4
STEAP1	1.5587453234666e-253	0.440885579892376	0.803	0.156	4.6762359703998e-250	CAF	STEAP1
BHLHE41	4.93123141940305e-253	0.352456051863822	0.897	0.577	1.47936942582092e-249	CAF	BHLHE41
IRS2	2.00220383562104e-252	0.45390010618424	0.966	0.817	6.00661150686312e-249	CAF	IRS2
ALDH1A3	2.15292708535798e-250	0.955850229276116	0.886	0.41	6.45878125607394e-247	CAF	ALDH1A3
TMEM119	7.71542472240964e-250	0.522917668235971	0.971	0.94	2.31462741672289e-246	CAF	TMEM119
IL1B	3.25684429577082e-246	0.403617370580723	0.906	0.551	9.77053288731246e-243	CAF	IL1B
BMP4	5.52046440158583e-243	0.594994717407282	0.88	0.386	1.65613932047575e-239	CAF	BMP4
NEGR1	7.15617087870429e-243	0.265630405018247	0.964	0.915	2.14685126361129e-239	CAF	NEGR1
JAM2	2.84455545790931e-241	0.262977095507798	0.856	0.258	8.53366637372792e-238	CAF	JAM2
FLRT2	2.97167622492351e-240	0.362539100775241	0.914	0.579	8.91502867477054e-237	CAF	FLRT2
CFB	3.62112647154093e-240	0.476761647986583	0.95	0.923	1.08633794146228e-236	CAF	CFB
PLCB1	3.11120306722967e-238	0.285312202415825	0.958	0.711	9.33360920168902e-235	CAF	PLCB1
ACVRL1	1.45133470225913e-236	0.337704456314209	0.965	0.621	4.3540041067774e-233	CAF	ACVRL1
LAMA2	2.41477631082766e-232	1.19059191990545	0.935	0.805	7.24432893248297e-229	CAF	LAMA2
RDH10	2.53274287289029e-230	0.291702153324039	0.807	0.173	7.59822861867086e-227	CAF	RDH10
TNFAIP3	9.16282725143311e-229	0.74602614055739	0.989	0.989	2.74884817542993e-225	CAF	TNFAIP3
ETV1	2.81142953258399e-227	0.558531436471206	0.867	0.241	8.43428859775196e-224	CAF	ETV1
DCN	2.19859582695508e-225	2.20109760177275	0.922	0.608	6.59578748086523e-222	CAF	DCN
NDRG1	2.14520165233202e-224	0.60872705916147	0.983	0.965	6.43560495699605e-221	CAF	NDRG1
MITF	4.09286594876531e-223	0.523883102566709	0.972	0.97	1.22785978462959e-219	CAF	MITF
ICAM1	1.21989999118065e-221	0.823438022982546	0.986	0.983	3.65969997354194e-218	CAF	ICAM1
GFPT2	5.95965198853569e-220	0.498576269590241	0.989	0.984	1.78789559656071e-216	CAF	GFPT2
JUP	2.63947188088455e-219	0.323526664093045	0.983	0.968	7.91841564265365e-216	CAF	JUP
GLT8D2	5.01296731287864e-219	0.594125847891426	0.934	0.849	1.50389019386359e-215	CAF	GLT8D2
F3	9.46241637104974e-218	0.755735942584977	0.916	0.332	2.83872491131492e-214	CAF	F3
EFEMP1	3.95064818895027e-217	2.17344828651917	0.932	0.904	1.18519445668508e-213	CAF	EFEMP1
SVEP1	1.17909877569417e-215	1.0146312495439	0.867	0.628	3.53729632708251e-212	CAF	SVEP1
GJA1	2.76679310325571e-214	0.406158550159986	0.791	0.154	8.30037930976713e-211	CAF	GJA1
IGFBP3	1.58182445085294e-213	2.65745138440024	0.879	0.585	4.74547335255882e-210	CAF	IGFBP3
CD302	7.79938240841526e-212	0.903988337147357	0.987	0.975	2.33981472252458e-208	CAF	CD302
FGF7	1.16663746523182e-211	1.62182985741184	0.866	0.564	3.49991239569545e-208	CAF	FGF7
SLC7A7	3.95514012629471e-211	0.263515123541701	0.864	0.374	1.18654203788841e-207	CAF	SLC7A7
FBLN1	7.81430245932287e-211	2.24475511658293	0.94	0.654	2.34429073779686e-207	CAF	FBLN1
TNFAIP6	6.81736012586347e-209	0.37149246535725	0.987	0.95	2.04520803775904e-205	CAF	TNFAIP6
CBR3	6.20194857976213e-207	0.333449315835191	0.92	0.587	1.86058457392864e-203	CAF	CBR3
LHFPL2	2.36543472887131e-205	0.283850902437336	0.973	0.944	7.09630418661392e-202	CAF	LHFPL2
ITM2A	3.62475688589378e-205	0.25755313578921	0.868	0.387	1.08742706576813e-201	CAF	ITM2A
CASP1	1.92244038352429e-204	0.459894184603426	0.883	0.531	5.76732115057288e-201	CAF	CASP1
EGFR	1.21007970234466e-203	0.31346039653976	0.978	0.97	3.63023910703398e-200	CAF	EGFR
EGR2	1.2821101218272e-201	0.279826846845811	0.889	0.391	3.8463303654816e-198	CAF	EGR2
FIBIN	1.84880167154266e-201	0.770727656272279	0.986	0.973	5.54640501462798e-198	CAF	FIBIN
ISLR	3.28774425994465e-201	1.73738019314467	0.99	0.979	9.86323277983396e-198	CAF	ISLR
SEMA3C	1.49729881523714e-200	0.611169714947616	0.966	0.965	4.49189644571141e-197	CAF	SEMA3C
HMCN1	1.27956073029126e-199	0.571926815028955	0.903	0.798	3.83868219087378e-196	CAF	HMCN1
CXCL3	2.26561471427683e-198	0.575824367407357	0.889	0.658	6.7968441428305e-195	CAF	CXCL3
MRC2	8.32462386888081e-198	0.818017769572932	0.984	0.975	2.49738716066424e-194	CAF	MRC2
ENPP1	3.22895118512197e-197	0.36034978121888	0.794	0.169	9.68685355536592e-194	CAF	ENPP1
TSPAN2	3.71265433016195e-196	0.252825460080719	0.887	0.526	1.11379629904858e-192	CAF	TSPAN2
MXRA5	7.70798556710138e-195	0.926685590933599	0.973	0.981	2.31239567013041e-191	CAF	MXRA5
ABCA8	1.97942876246549e-194	0.706395913685758	0.982	0.954	5.93828628739648e-191	CAF	ABCA8
C3	2.63951340065721e-193	1.47672980083912	0.843	0.23	7.91854020197163e-190	CAF	C3
LAMB1	6.27415402804992e-192	1.01620349100328	0.995	0.982	1.88224620841498e-188	CAF	LAMB1
CD55	7.0606570614004e-189	0.426502055884492	0.99	0.968	2.11819711842012e-185	CAF	CD55
DAB2	2.47254936245477e-188	1.09266924248803	0.886	0.628	7.41764808736432e-185	CAF	DAB2
LTBP4	3.54012204661173e-188	1.41042602159226	0.995	0.976	1.06203661398352e-184	CAF	LTBP4
PCNA	3.80202341709691e-187	0.309038104910112	0.879	0.29	1.14060702512907e-183	CAF	PCNA
THBD	4.3230947659551e-186	0.308763252257352	0.968	0.958	1.29692842978653e-182	CAF	THBD
LIMCH1	5.60541079076813e-186	0.459705296984936	0.846	0.36	1.68162323723044e-182	CAF	LIMCH1
TSPAN6	1.16836080781881e-184	0.335501768310559	0.978	0.925	3.50508242345643e-181	CAF	TSPAN6
SULF2	1.95287824066042e-181	0.679201542743388	0.924	0.944	5.85863472198127e-178	CAF	SULF2
ABL2	1.50938235702192e-180	0.311883488452713	0.915	0.66	4.52814707106576e-177	CAF	ABL2
ANGPTL2	1.01595895059029e-178	0.76589475122134	0.932	0.63	3.04787685177087e-175	CAF	ANGPTL2
SGIP1	2.70192974309852e-175	0.407458839418154	0.972	0.923	8.10578922929557e-172	CAF	SGIP1
TNXB	1.04432644626262e-174	0.765976015624884	0.909	0.792	3.13297933878786e-171	CAF	TNXB
SERPINE2	9.18557069107804e-174	1.44184492291904	0.963	0.668	2.75567120732341e-170	CAF	SERPINE2
IRAK3	3.2893052311e-173	0.296173229831795	0.977	0.964	9.8679156933e-170	CAF	IRAK3
HSBP1L1	2.36728663167343e-172	0.335462939684195	0.918	0.558	7.10185989502028e-169	CAF	HSBP1L1
LOXL2	3.42233564553695e-171	0.451093964350928	0.99	0.979	1.02670069366108e-167	CAF	LOXL2
LEPR	8.05166662087773e-171	0.317919957027215	0.963	0.952	2.41549998626332e-167	CAF	LEPR
CTSC	1.53392217859629e-170	1.4028796930081	0.974	0.792	4.60176653578887e-167	CAF	CTSC
NEDD9	1.26652771168226e-168	0.420100943639344	0.971	0.959	3.79958313504678e-165	CAF	NEDD9
GFRA1	1.96351261260146e-168	0.262421315493352	0.889	0.838	5.89053783780438e-165	CAF	GFRA1
CXCL2	4.81805754864651e-167	1.22265218035466	0.966	0.973	1.44541726459395e-163	CAF	CXCL2
PCDH18	3.46023821450977e-166	0.879760970053805	0.985	0.965	1.03807146435293e-162	CAF	PCDH18
PERP	7.96340719849473e-166	0.309220659677886	0.835	0.379	2.38902215954842e-162	CAF	PERP
WLS	1.82757888762247e-164	0.556163276670634	0.986	0.976	5.48273666286741e-161	CAF	WLS
GPC6	1.91930854957617e-163	0.58641516372818	0.969	0.976	5.7579256487285e-160	CAF	GPC6
CST1	1.50438425902876e-162	2.60955612231749	0.839	0.815	4.51315277708628e-159	CAF	CST1
RNASET2	1.7431875985046e-162	0.693831297208817	0.923	0.769	5.22956279551379e-159	CAF	RNASET2
TNFSF10	2.32863499503963e-162	0.614434943558657	0.89	0.645	6.98590498511889e-159	CAF	TNFSF10
TMEM176B	8.03965517232903e-160	1.35023697783999	0.945	0.792	2.41189655169871e-156	CAF	TMEM176B
CDKN2A	2.61261292876267e-158	0.293600258551059	0.738	0.236	7.83783878628802e-155	CAF	CDKN2A
APOL3	7.36881645344671e-158	0.277650619147023	0.957	0.54	2.21064493603401e-154	CAF	APOL3
TMEM98	4.46860005575167e-157	0.986949859935114	0.987	0.977	1.3405800167255e-153	CAF	TMEM98
FMOD	1.09258472620465e-154	0.905588811563066	0.992	0.984	3.27775417861396e-151	CAF	FMOD
SMPDL3A	2.30895989498735e-154	0.324577221187124	0.802	0.47	6.92687968496205e-151	CAF	SMPDL3A
RGL1	3.83657549882353e-154	0.322052667031958	0.841	0.614	1.15097264964706e-150	CAF	RGL1
GPNMB	9.10066742785048e-154	1.21719372068107	0.85	0.564	2.73020022835514e-150	CAF	GPNMB
WWTR1	9.89377180563283e-154	0.537891802765064	0.971	0.839	2.96813154168985e-150	CAF	WWTR1
LRP1	4.43313043071639e-151	1.26178437324428	0.989	0.973	1.32993912921492e-147	CAF	LRP1
CXCL10	2.06959418443256e-150	0.371229705649099	0.143	0.293	6.20878255329769e-147	CAF	CXCL10
SULF1	4.19371086438042e-149	1.16457489435871	0.993	0.988	1.25811325931413e-145	CAF	SULF1
GPX8	1.57973995210457e-148	0.722483636904559	0.966	0.877	4.7392198563137e-145	CAF	GPX8
TCN2	1.38145495143619e-147	0.352039932841291	0.865	0.58	4.14436485430857e-144	CAF	TCN2
TMEM45A	3.03451373111132e-144	0.970386714706049	0.897	0.693	9.10354119333395e-141	CAF	TMEM45A
C1S	2.64787750764917e-142	1.78900408747765	0.95	0.912	7.9436325229475e-139	CAF	C1S
ABCA6	1.84743675030385e-141	0.976427691852705	0.837	0.704	5.54231025091156e-138	CAF	ABCA6
DRAM1	2.71325635414387e-140	0.369221170389044	0.966	0.952	8.13976906243161e-137	CAF	DRAM1
SCG5	6.89943975027773e-140	0.280559748641168	0.823	0.386	2.06983192508332e-136	CAF	SCG5
PFKFB3	1.31637016178662e-138	0.327847110513963	0.983	0.985	3.94911048535986e-135	CAF	PFKFB3
CTSS	2.71651633173165e-137	0.781517879101102	0.824	0.474	8.14954899519494e-134	CAF	CTSS
IL18BP	1.33890463138084e-136	0.378882305692192	0.986	0.985	4.01671389414251e-133	CAF	IL18BP
