p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
1	0	2.47973221355923	0.893	0.306	0	Others	PTPRC
2	0	2.38717109865637	0.908	0.562	0	Others	CD37
3	0	2.3655317748511	0.927	0.633	0	Others	RAC2
4	0	2.34085670167145	0.899	0.581	0	Others	CORO1A
5	0	2.306455656468	0.92	0.314	0	Others	LAPTM5
6	0	2.28383187380722	0.926	0.449	0	Others	IL2RG
7	0	2.18759150721112	0.937	0.525	0	Others	CYTIP
8	0	2.16995749546557	0.944	0.736	0	Others	PTPRCAP
9	0	2.061367416031	0.917	0.756	0	Others	LCP1
10	0	1.92034518133674	0.858	0.327	0	Others	ITGB2
11	0	1.89527861264042	0.906	0.407	0	Others	CD53
12	0	1.85142813457759	0.872	0.602	0	Others	CD48
13	0	1.82467778441954	0.897	0.785	0	Others	TUBA4A
14	0	1.74958309816593	0.878	0.626	0	Others	SAMSN1
15	0	1.66849580627131	0.898	0.762	0	Others	TAGAP
16	0	1.62072278637522	0.926	0.579	0	Others	HCLS1
17	1.23588171620265e-304	2.34729182330022	0.82	0.417	3.70764514860795e-301	Others	CD69
18	1.54725286721138e-294	2.03608200360224	0.788	0.388	4.64175860163413e-291	Others	CD7
19	1.63982199198282e-291	2.18744588183145	0.859	0.589	4.91946597594846e-288	Others	DUSP2
20	2.66320860709979e-271	1.69680875995782	0.769	0.487	7.98962582129938e-268	Others	CTSW
21	7.40551221000248e-270	1.84015363398058	0.833	0.619	2.22165366300074e-266	Others	ALOX5AP
22	5.44108086967532e-263	1.70826871302382	0.945	0.512	1.6323242609026e-259	Others	ARHGDIB
23	8.18720618162542e-263	1.66111709277019	0.958	0.861	2.45616185448763e-259	Others	EZR
24	4.64948452291103e-255	1.9812235494775	0.781	0.318	1.39484535687331e-251	Others	CD52
25	9.32889107085164e-249	1.77530354029353	0.658	0.161	2.79866732125549e-245	Others	NKG7
26	3.1417403238047e-246	1.77562999996047	0.699	0.201	9.42522097141411e-243	Others	LTB
27	2.27587119194532e-237	2.36626055792011	0.784	0.498	6.82761357583596e-234	Others	CD3E
28	5.12813387815141e-233	1.881402215815	0.91	0.981	1.53844016344542e-229	Others	ISG20
29	7.14148504647959e-228	1.72054142120514	0.911	0.767	2.14244551394388e-224	Others	LSP1
30	1.51503386596058e-211	1.81860552607997	0.783	0.381	4.54510159788174e-208	Others	HCST
31	6.29550156916744e-209	1.96045767065348	0.769	0.558	1.88865047075023e-205	Others	CST7
32	9.76471883599616e-201	1.77078018134312	0.645	0.206	2.92941565079885e-197	Others	CD3D
33	8.78992850307389e-198	1.7345573349218	0.656	0.211	2.63697855092217e-194	Others	CCL5
34	9.59876822108756e-193	2.04131602085318	0.8	0.554	2.87963046632627e-189	Others	CXCR4
35	2.025660431561e-161	1.79247641185192	0.682	0.288	6.076981294683e-158	Others	CD2
36	2.94860512136236e-110	1.74467726909938	0.597	0.183	8.84581536408709e-107	Others	GZMA
37	1.99913172886838e-77	1.70528312888692	0.717	0.758	5.99739518660513e-74	Others	RGS1
38	9.49609962903153e-64	1.82428105634632	0.798	0.885	2.84882988870946e-60	Others	IL7R
39	8.65266103084242e-59	1.60946526213204	0.795	0.979	2.59579830925272e-55	Others	AREG
40	5.91364520666256e-58	1.88045783207909	0.611	0.437	1.77409356199877e-54	Others	CCL4
41	0	4.30445247395321	0.925	0.16	0	CAF	CXCL14
42	0	3.70638851619513	0.89	0.049	0	CAF	LUM
43	0	3.65046841968171	0.922	0.051	0	CAF	DCN
44	0	3.55736971093001	0.981	0.12	0	CAF	MFAP4
45	0	3.16061295558486	0.927	0.057	0	CAF	COL3A1
46	0	3.10261438019041	0.885	0.152	0	CAF	APOD
47	0	3.01780119533546	0.928	0.128	0	CAF	BGN
48	0	2.99192808553647	0.921	0.13	0	CAF	MMP2
49	0	2.93340181166247	0.95	0.217	0	CAF	C1S
50	0	2.91134755836517	0.94	0.127	0	CAF	FBLN1
51	0	2.86725077319616	0.91	0.099	0	CAF	IGFBP5
52	0	2.85452571204935	0.945	0.26	0	CAF	AEBP1
53	0	2.85282844695371	0.896	0.044	0	CAF	COL1A2
54	0	2.84366864367887	0.886	0.245	0	CAF	COL1A1
55	0	2.82894627178393	0.959	0.515	0	CAF	COL6A2
56	0	2.79919514735777	0.93	0.224	0	CAF	RARRES2
57	0	2.75410283156386	0.839	0.048	0	CAF	CST1
58	0	2.75396170484589	0.762	0.057	0	CAF	C7
59	0	2.72070717974141	0.956	0.326	0	CAF	COL6A1
60	0	2.55505896395952	0.851	0.251	0	CAF	COL6A3
61	0	2.46090297653873	0.984	0.353	0	CAF	SERPING1
62	0	2.4278710709474	0.996	0.082	0	CAF	MXRA8
63	0	2.40846428909679	0.929	0.308	0	CAF	MYL9
64	0	2.40093117757948	0.932	0.12	0	CAF	EFEMP1
65	0	2.35274504980267	0.731	0.025	0	CAF	ASPN
66	0	2.33915568099803	0.982	0.344	0	CAF	IGFBP7
67	0	2.33077650404098	0.879	0.422	0	CAF	IGFBP3
68	0	2.32691143340337	0.844	0.143	0	CAF	GGT5
69	0	2.31986934863971	0.966	0.287	0	CAF	CNN3
70	0	2.29694914478387	0.99	0.039	0	CAF	ISLR
71	0	2.27813522524655	0.842	0.139	0	CAF	THY1
72	6.98619744337732e-266	2.50418222546979	0.823	0.272	2.0958592330132e-262	CAF	TAGLN
73	2.71114357262038e-259	2.96717951197944	0.809	0.12	8.13343071786114e-256	CAF	MGP
74	8.35187425922592e-229	2.44242019274045	0.778	0.28	2.50556227776778e-225	CAF	C1R
75	1.49961240952722e-119	2.34866763414126	0.667	0.142	4.49883722858166e-116	CAF	CCDC80
76	5.37969679714193e-112	2.5860966339483	0.341	0.097	1.61390903914258e-108	CAF	CCL19
77	1.38759177298528e-79	2.60370605027542	0.337	0.031	4.16277531895583e-76	CAF	CCL21
78	4.85182248109848e-53	2.28622720382947	0.639	0.221	1.45554674432954e-49	CAF	CCL2
79	3.66401810596945e-16	2.32964395160162	0.569	0.241	1.09920543179084e-12	CAF	CXCL12
80	8.9649706680423e-15	2.48448643202433	0.375	0.302	2.68949120041269e-11	CAF	MTRNR2L8
