p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
PTPRC	0	2.47973221355923	0.893	0.306	0	Others	PTPRC
CD37	0	2.38717109865637	0.908	0.562	0	Others	CD37
RAC2	0	2.3655317748511	0.927	0.633	0	Others	RAC2
CORO1A	0	2.34085670167145	0.899	0.581	0	Others	CORO1A
LAPTM5	0	2.306455656468	0.92	0.314	0	Others	LAPTM5
IL2RG	0	2.28383187380722	0.926	0.449	0	Others	IL2RG
CYTIP	0	2.18759150721112	0.937	0.525	0	Others	CYTIP
PTPRCAP	0	2.16995749546557	0.944	0.736	0	Others	PTPRCAP
LCP1	0	2.061367416031	0.917	0.756	0	Others	LCP1
ITGB2	0	1.92034518133674	0.858	0.327	0	Others	ITGB2
CD53	0	1.89527861264042	0.906	0.407	0	Others	CD53
CD48	0	1.85142813457759	0.872	0.602	0	Others	CD48
TUBA4A	0	1.82467778441954	0.897	0.785	0	Others	TUBA4A
SAMSN1	0	1.74958309816593	0.878	0.626	0	Others	SAMSN1
TAGAP	0	1.66849580627131	0.898	0.762	0	Others	TAGAP
HCLS1	0	1.62072278637522	0.926	0.579	0	Others	HCLS1
UCP2	0	1.60469354764717	0.897	0.936	0	Others	UCP2
VAMP8	0	1.52279126810484	0.833	0.243	0	Others	VAMP8
SLC38A1	0	1.35953618714807	0.88	0.705	0	Others	SLC38A1
STXBP2	0	1.02966576551839	0.824	0.295	0	Others	STXBP2
ITGAM	0	0.31298737492645	0.54	0.126	0	Others	ITGAM
LY9	3.08818182946698e-307	0.838562473167453	0.794	0.43	9.26454548840093e-304	Others	LY9
DOK2	3.79936305006431e-306	1.15408212827649	0.756	0.208	1.13980891501929e-302	Others	DOK2
CD69	1.23588171620265e-304	2.34729182330022	0.82	0.417	3.70764514860795e-301	Others	CD69
CD7	1.54725286721138e-294	2.03608200360224	0.788	0.388	4.64175860163413e-291	Others	CD7
DUSP2	1.63982199198282e-291	2.18744588183145	0.859	0.589	4.91946597594846e-288	Others	DUSP2
