,CRC,PC
Bm,1.09287228223729,0.915020003941209
Bn,0.574179002549707,1.74161715346501
Endo,20.3279374905355,0.0491933822831555
Fibro,4.39104036978222,0.227736462384107
MAIT,1.86484018354067,0.53623898113422
Macro,1.86759577905805,0.535447772592614
Mast,0.105904436799718,9.44247502955094
Mono,2.40282292294709,0.41617715165356
NK,1.18808868885343,0.841688006444244
NKT,0.952655347327131,1.04969756670731
Plasma,0.397596321583987,2.51511381195906
Tcm,1.03305300982232,0.968004536545507
Tem,1.10112850508443,0.908159216097421
Tfh,1.59060229376837,0.628692668128155
Tn,1.06145320661097,0.942104648393143
Treg,0.782836508751842,1.27740593191598
Trm,0.76695768853198,1.30385289169483
cDC1,0.767131992175666,1.30355663718821
cDC2,1.3463466141315,0.742750781636628
pDC,3.7300295821134,0.268094388525844
