,CRC,PC
B cell,0.637592007161991,1.56840109155561
CD4+ T cell,0.857240982125147,1.16653312295097
CD8+ T cell,1.03572709779381,0.965505297804879
Endothelial cell,20.3279374905355,0.0491933822831555
Fibroblast,4.39104036978222,0.227736462384107
Macrophage/Monocyte,2.18655862960919,0.457339669039074
Mast cell,0.105904436799718,9.44247502955094
NK cell,1.18808868885343,0.841688006444244
Plasma cell,0.397596321583987,2.51511381195906
cDC,1.20788938736118,0.827890376770884
pDC,3.7300295821134,0.268094388525844
